date,open,high,low,close,volume
2025-04-17,40.27,41.45,39.92,40.35,580448.0
2025-04-21,40.7,41.75,40.07,41.47,604745.0
2025-04-22,41.47,43.85,40.85,43.49,1197825.0
2025-04-23,43.65,43.91,41.78,42.78,634022.0
2025-04-24,42.45,43.95,42.15,42.9,662946.0
2025-04-25,42.85,43.13,39.97,40.52,1008804.0
2025-04-28,40.1,41.2,40.1,40.91,407610.0
2025-04-29,41.46,42.44,41.09,41.81,555765.0
2025-04-30,41.46,41.81,39.81,40.08,461752.0
2025-05-02,40.08,40.89,39.24,39.82,427824.0
2025-05-05,40.0,40.54,39.28,40.38,340485.0
2025-05-06,40.34,40.54,38.5,38.62,315489.0
2025-05-07,38.1,39.4,38.1,39.23,414230.0
2025-05-08,39.3,39.94,38.1,38.37,364329.0
2025-05-09,37.62,38.2,37.25,37.79,411961.0
2025-05-12,39.49,41.0,39.49,40.58,550143.0
2025-05-13,40.6,42.24,40.5,42.05,671651.0
2025-05-14,42.55,45.93,42.55,45.49,2360418.0
2025-05-15,45.97,46.59,45.31,45.78,995476.0
2025-05-16,45.83,46.8,45.32,46.27,876220.0
2025-05-19,46.4,48.36,46.0,47.02,1361820.0
2025-05-20,47.1,47.5,46.0,46.13,650855.0
2025-05-21,45.7,46.78,45.46,46.61,619350.0
2025-05-22,46.15,51.96,45.05,48.97,2723573.0
2025-05-23,50.2,50.9,48.58,48.84,3560640.0
2025-05-26,49.05,49.19,47.38,47.57,801816.0
2025-05-27,47.79,47.94,47.0,47.23,501726.0
2025-05-28,47.2,48.54,47.2,47.97,702476.0
2025-05-29,48.19,48.57,47.7,48.13,657349.0
2025-05-30,48.1,48.25,47.13,47.53,607313.0
2025-06-02,47.09,49.7,47.09,49.33,1187138.0
2025-06-03,49.57,49.57,48.8,48.88,438609.0
2025-06-04,48.8,49.33,47.71,48.67,308735.0
2025-06-05,48.85,50.25,48.8,49.26,850336.0
2025-06-06,49.26,49.7,48.85,49.26,290383.0
2025-06-09,49.4,50.85,49.35,49.66,735039.0
2025-06-10,49.83,51.55,49.55,50.46,1109015.0
2025-06-11,50.79,52.6,50.4,51.49,1656572.0
2025-06-12,51.55,51.75,49.42,49.97,793457.0
2025-06-13,48.76,50.02,48.5,49.65,641866.0
2025-06-16,49.41,49.89,48.14,49.11,592986.0
2025-06-17,49.0,49.59,47.8,47.9,338324.0
2025-06-18,47.9,48.38,47.0,47.24,402012.0
2025-06-19,47.25,47.58,45.21,45.85,598935.0
2025-06-20,46.0,46.75,45.5,46.3,571011.0
2025-06-23,45.64,46.36,45.6,45.86,278225.0
2025-06-24,46.35,47.59,46.35,46.93,343665.0
2025-06-25,47.29,49.15,47.06,48.96,588656.0
2025-06-26,49.19,49.55,48.21,48.56,466518.0
2025-06-27,48.84,50.85,48.71,49.78,1029683.0
2025-06-30,49.88,50.0,48.57,48.89,411839.0
2025-07-01,49.0,49.61,48.54,49.4,417007.0
2025-07-02,49.79,49.9,48.76,49.64,531571.0
2025-07-03,49.5,49.89,49.12,49.38,245620.0
2025-07-04,49.1,49.86,48.8,49.29,405499.0
2025-07-07,49.48,50.99,49.01,49.29,1017773.0
2025-07-08,49.7,49.79,48.42,49.08,484429.0
2025-07-09,49.48,49.54,48.21,48.38,434384.0
2025-07-10,48.22,49.18,48.2,48.33,337179.0
2025-07-11,48.0,48.84,47.6,47.74,400416.0
2025-07-14,47.78,47.97,46.92,47.61,328706.0
2025-07-15,47.8,48.45,47.71,48.04,213997.0
2025-07-17,48.79,49.2,48.2,48.31,150275.0
2025-07-18,48.49,48.95,47.36,48.45,516070.0
2025-07-21,48.91,48.91,47.51,47.8,313184.0
2025-07-22,48.23,48.6,47.0,47.08,362333.0
2025-07-23,47.24,47.31,45.83,46.01,518096.0
2025-07-24,46.18,46.35,45.75,45.87,246064.0
2025-07-25,45.99,45.99,45.0,45.06,428999.0
2025-07-28,45.01,45.18,43.15,43.54,298050.0
2025-07-29,43.02,44.3,43.01,44.21,369086.0
2025-07-30,44.43,44.43,42.32,42.53,769745.0
2025-07-31,42.22,42.98,41.62,42.46,431404.0
2025-08-01,42.46,42.91,41.5,41.69,343624.0
2025-08-04,41.25,43.44,41.25,43.15,334080.0
2025-08-05,43.0,43.64,42.5,42.79,243307.0
2025-08-06,42.5,43.33,40.5,41.16,471588.0
2025-08-07,40.82,42.21,40.1,41.08,767082.0
2025-08-08,40.62,41.28,39.25,40.15,397880.0
2025-08-11,40.25,40.74,39.8,40.37,253587.0
2025-08-12,40.1,40.74,39.5,39.63,380288.0
2025-08-13,40.0,40.0,39.0,39.07,469231.0
2025-08-14,38.99,39.53,38.5,38.85,329729.0
2025-08-18,39.0,40.05,39.0,39.87,329518.0
2025-08-19,39.8,40.3,39.41,39.95,487183.0
2025-08-20,40.0,41.65,40.0,41.21,747393.0
2025-08-21,41.2,41.76,41.0,41.2,198269.0
2025-08-22,40.91,41.17,40.66,40.87,150070.0
2025-08-25,40.8,40.99,40.0,40.18,242842.0
2025-08-26,39.95,40.83,39.25,39.55,189059.0
2025-08-28,39.5,40.1,39.1,39.63,251446.0
2025-08-29,39.42,39.98,39.22,39.43,193245.0
2025-09-01,39.8,40.72,39.45,40.28,230203.0
2025-09-02,43.0,46.85,42.52,45.1,6631126.0
2025-09-03,46.25,46.44,45.04,45.96,1306547.0
2025-09-04,46.5,46.64,44.26,44.55,557822.0
2025-09-05,44.5,45.14,43.61,44.55,521076.0
2025-09-08,44.9,44.9,43.52,43.78,244450.0
2025-09-09,43.57,43.82,43.1,43.21,209278.0
2025-09-10,43.16,43.44,42.1,42.4,475217.0
2025-09-11,42.4,42.9,41.81,42.17,362264.0
2025-09-12,42.17,42.96,42.0,42.48,302737.0
2025-09-15,42.63,43.33,42.48,42.6,294741.0
2025-09-16,42.6,43.09,42.6,42.85,199589.0
2025-09-17,42.85,43.34,42.8,43.04,208502.0
2025-09-18,43.2,44.51,43.0,43.34,667980.0
2025-09-19,43.6,43.6,42.2,42.39,588593.0
2025-09-22,42.39,42.65,41.19,41.53,395099.0
2025-09-23,41.99,42.08,41.21,41.64,227260.0
2025-09-24,41.63,43.9,41.3,42.85,727535.0
2025-09-25,42.75,42.85,41.6,41.88,287138.0
2025-09-26,41.87,41.95,40.89,41.02,224450.0
2025-09-29,41.14,41.59,40.55,40.7,215743.0
2025-09-30,40.7,41.5,40.35,41.08,207750.0
2025-10-01,41.08,41.85,40.81,41.61,202012.0
2025-10-03,41.61,41.88,41.39,41.72,201471.0
2025-10-06,42.04,42.59,41.15,41.41,279159.0
2025-10-07,41.01,43.25,41.01,43.11,916939.0
2025-10-08,43.25,44.55,42.76,43.94,1250339.0
2025-10-09,44.0,44.19,43.1,43.37,341386.0
2025-10-10,43.37,44.95,43.01,44.73,818472.0
2025-10-13,44.7,45.62,44.2,45.04,768841.0
2025-10-14,44.7,45.6,43.55,43.74,807060.0
2025-10-15,43.5,43.96,42.81,43.54,361256.0
2025-10-16,43.67,44.15,43.3,43.6,249281.0
2025-10-17,43.6,43.6,42.62,42.76,202654.0
2025-10-20,42.4,44.0,42.32,43.79,301904.0
2025-10-21,44.0,44.8,43.56,44.25,121912.0
2025-10-23,44.39,45.99,44.1,45.51,1009337.0
2025-10-24,45.5,45.5,44.8,44.99,289002.0
2025-10-27,45.17,46.23,44.65,45.01,741880.0
2025-10-28,45.45,45.66,44.1,44.55,419287.0
2025-10-29,44.25,46.19,44.25,46.01,1323882.0
2025-10-30,46.18,46.18,44.37,44.86,690130.0
2025-10-31,44.75,45.04,42.1,43.35,753201.0
2025-11-03,42.99,42.99,41.65,42.64,732205.0
2025-11-04,42.94,43.07,42.01,42.24,239474.0
2025-11-06,42.39,42.48,41.5,41.69,242085.0
2025-11-07,41.82,42.0,41.3,41.94,244817.0
2025-11-10,43.05,43.7,42.3,42.39,528528.0
2025-11-11,42.5,42.99,41.81,42.03,165277.0
2025-11-12,42.05,42.66,42.0,42.13,281288.0
2025-11-13,42.24,42.33,41.5,41.65,255027.0
2025-11-14,41.53,42.12,41.42,41.82,224590.0
2025-11-17,41.99,42.16,41.5,41.64,285840.0
2025-11-18,41.64,41.74,41.1,41.24,296012.0
2025-11-19,41.02,42.2,41.02,41.59,413205.0
2025-11-20,41.63,42.19,41.52,41.6,342381.0
2025-11-21,41.2,41.6,40.6,40.77,265279.0
2025-11-24,41.0,41.51,40.0,40.18,251659.0
2025-11-25,40.0,41.4,39.99,40.82,461472.0
2025-11-26,40.85,41.29,40.53,41.17,254071.0
2025-11-27,41.17,41.7,40.8,41.43,299569.0
2025-11-28,41.43,41.53,40.4,40.98,299504.0
2025-12-01,40.98,41.27,40.02,40.28,234925.0
2025-12-02,40.32,40.32,39.62,39.86,253461.0
2025-12-03,39.9,39.96,38.7,38.86,300813.0
2025-12-04,39.45,39.45,38.35,38.45,314658.0
2025-12-05,38.11,38.75,38.11,38.41,354416.0
2025-12-08,37.9,38.46,36.2,36.77,708204.0
2025-12-09,36.8,37.9,36.35,37.5,659052.0
2025-12-10,37.5,41.49,37.4,40.28,2407493.0
2025-12-11,39.75,41.48,39.54,41.19,792615.0
2025-12-12,41.48,41.58,39.7,39.95,501554.0
2025-12-15,40.27,40.27,39.47,39.69,241330.0
2025-12-16,39.69,40.2,38.25,39.02,318535.0
2025-12-17,38.66,39.25,38.01,38.16,313507.0
2025-12-18,38.16,39.4,37.52,38.66,620703.0
2025-12-19,38.5,38.91,36.25,37.02,1747890.0
2025-12-22,37.11,37.82,37.1,37.17,471275.0
2025-12-23,37.17,37.59,36.83,37.43,332451.0
2025-12-24,37.43,37.83,37.05,37.18,298970.0
2025-12-26,37.2,37.75,37.0,37.31,358519.0
2025-12-29,37.32,37.84,36.95,37.12,370829.0
2025-12-30,36.83,37.22,36.48,36.9,332305.0
2025-12-31,36.9,37.92,36.9,37.73,360174.0
2026-01-01,37.84,37.84,36.75,37.24,356517.0
2026-01-02,37.22,38.09,37.01,37.88,335851.0
2026-01-05,38.0,38.0,37.23,37.45,262464.0
2026-01-06,37.5,37.5,37.0,37.18,263197.0
2026-01-07,37.15,37.45,37.03,37.21,254444.0
2026-01-08,37.37,37.37,36.4,36.6,361490.0
2026-01-09,36.6,36.6,35.5,35.62,541891.0
2026-01-12,35.62,35.63,34.23,35.07,615744.0
2026-01-13,35.4,35.47,34.5,34.7,307196.0
2026-01-14,34.7,35.45,34.5,35.22,304248.0
2026-01-16,35.2,35.28,34.5,34.69,233236.0
2026-01-19,35.4,35.5,34.17,34.4,413986.0
2026-01-20,34.4,34.41,33.3,33.49,358900.0
2026-01-21,33.0,33.59,32.13,32.53,627328.0
2026-01-22,32.75,34.4,32.75,34.2,709437.0
2026-01-23,34.7,34.7,33.0,33.09,405362.0
2026-01-27,33.41,34.99,32.56,33.86,459092.0
2026-01-28,34.13,34.6,33.73,34.15,275809.0
2026-01-29,34.15,34.15,33.12,33.31,403569.0
2026-01-30,33.16,35.85,32.9,35.24,768923.0
2026-02-01,35.24,36.0,34.5,34.59,254180.0
2026-02-02,34.5,34.96,33.55,34.09,330967.0
2026-02-03,34.96,35.14,34.05,34.38,579556.0
2026-02-04,34.5,35.24,34.15,34.68,521280.0
2026-02-05,34.73,34.99,33.87,34.18,403783.0
2026-02-06,34.18,34.7,33.56,34.55,236725.0
2026-02-09,35.0,36.34,34.81,36.14,568982.0
2026-02-10,36.2,37.5,36.1,37.2,725052.0
2026-02-11,37.24,38.6,36.25,36.5,1574846.0
2026-02-12,37.0,37.45,36.0,36.17,471474.0
2026-02-13,36.0,38.1,35.06,37.68,1227739.0
2026-02-16,37.51,38.06,36.55,36.77,392761.0
2026-02-17,36.5,37.23,36.05,36.18,476249.0
2026-02-18,36.18,37.2,36.06,36.67,356927.0
2026-02-19,36.31,36.56,34.93,35.05,538112.0
2026-02-20,35.15,36.27,34.6,36.16,574722.0
2026-02-23,36.16,36.3,35.26,35.6,237510.0
2026-02-24,34.7,35.55,34.5,35.17,478526.0
2026-02-25,35.5,35.5,34.83,35.14,225344.0
2026-02-26,34.8,36.8,34.7,36.48,821577.0
2026-02-27,36.4,38.04,36.11,37.3,1317617.0
2026-03-02,36.0,37.22,35.61,36.16,729959.0
2026-03-04,35.9,40.7,35.14,39.63,7076911.0
2026-03-05,40.0,40.88,38.26,40.21,2037446.0
2026-03-06,40.21,40.21,38.25,38.42,713477.0
2026-03-09,36.91,41.8,36.91,39.44,3607971.0
2026-03-10,40.27,40.87,38.81,39.91,765850.0
2026-03-11,39.9,40.9,39.4,39.53,660190.0
2026-03-12,39.42,40.67,38.8,38.83,886527.0
2026-03-13,38.83,39.7,37.6,37.87,563520.0
2026-03-16,38.0,38.48,36.02,36.63,660036.0
2026-03-17,37.18,38.54,36.25,36.55,856514.0
2026-03-18,36.55,37.74,36.55,37.19,465695.0
2026-03-19,36.28,38.38,36.28,37.65,890432.0
2026-03-20,38.51,40.5,38.02,39.68,1859165.0
2026-03-23,39.84,39.84,37.76,37.89,900980.0
2026-03-24,39.25,39.25,37.07,38.04,578156.0
2026-03-25,38.44,41.21,38.08,40.89,2406694.0
2026-03-27,40.83,42.5,39.73,42.05,3925292.0
2026-03-30,42.99,48.4,42.16,45.92,28984353.0
2026-04-01,45.87,48.51,45.32,46.47,4677414.0
2026-04-02,46.0,46.0,44.1,45.11,1796318.0
2026-04-06,46.19,48.21,44.26,46.97,3202409.0
2026-04-07,46.51,47.83,45.6,46.16,1280656.0
2026-04-08,46.5,48.19,43.7,44.53,2094972.0
2026-04-09,44.9,45.5,44.21,44.64,1238877.0
2026-04-10,44.27,47.45,44.27,45.43,1997058.0
2026-04-13,45.38,46.75,44.93,45.84,1529487.0
2026-04-15,45.84,48.0,45.84,47.38,2008928.0
2026-04-16,48.08,49.0,46.91,47.5,1264285.0
2026-04-17,47.85,48.49,47.21,47.4,942660.0
2026-04-20,47.9,49.25,45.9,46.92,1763959.0
2026-04-21,46.97,47.82,46.16,46.31,869162.0
2026-04-22,46.5,48.15,45.18,46.62,3356987.0
2026-04-23,46.8,49.1,46.8,47.28,3201951.0
2026-04-24,47.64,47.64,43.45,43.74,2564967.0
2026-04-27,44.0,45.24,44.0,44.67,894420.0
2026-04-28,44.85,44.85,41.91,42.11,2242179.0
2026-04-29,42.74,43.94,42.51,43.36,1617068.0
2026-04-30,43.6,49.7,43.6,46.96,41395592.0
2026-05-04,47.78,48.56,46.79,47.37,3375859.0
2026-05-05,47.6,53.09,46.72,50.44,27563704.0
2026-05-06,51.19,52.04,49.21,49.76,5213127.0
2026-05-07,49.86,50.2,48.27,48.59,2254159.0
2026-05-08,48.64,49.07,46.86,46.99,2072994.0
