date,open,high,low,close,volume
2025-04-11,531.1,538.5,515.4,529.9,697592.0
2025-04-15,538.3,555.2,531.25,551.2,613031.0
2025-04-16,555.0,567.8,555.0,564.8,533554.0
2025-04-17,564.15,564.5,552.2,554.2,189478.0
2025-04-21,555.2,568.45,550.1,566.05,396801.0
2025-04-22,571.5,595.1,570.6,591.6,1312676.0
2025-04-23,595.1,596.45,573.35,589.75,485207.0
2025-04-24,585.0,603.9,583.0,600.6,668872.0
2025-04-25,601.0,605.25,568.1,571.95,531078.0
2025-04-28,572.0,578.8,562.4,576.15,247972.0
2025-04-29,576.15,581.95,561.9,565.8,371661.0
2025-04-30,565.8,566.9,547.1,550.9,300780.0
2025-05-02,545.0,559.9,542.1,547.65,270485.0
2025-05-05,547.6,557.55,543.3,552.3,321099.0
2025-05-06,552.3,557.6,544.1,553.85,260445.0
2025-05-07,549.95,570.0,546.45,558.55,491932.0
2025-05-08,563.0,563.0,531.5,539.95,462831.0
2025-05-09,522.0,548.9,514.0,525.45,707614.0
2025-05-12,543.95,562.4,540.35,558.3,275138.0
2025-05-13,555.6,561.7,549.9,554.0,206249.0
2025-05-14,554.0,565.25,554.0,559.0,719184.0
2025-05-15,563.2,572.0,558.0,561.0,737926.0
2025-05-16,561.0,564.9,549.3,558.7,510331.0
2025-05-19,558.7,573.25,550.1,558.9,875937.0
2025-05-20,561.3,564.75,548.2,550.2,260144.0
2025-05-21,548.0,558.4,544.95,553.25,284982.0
2025-05-22,553.25,556.7,548.0,554.6,232183.0
2025-05-23,558.3,558.3,547.5,553.1,273948.0
2025-05-26,554.0,567.95,553.5,566.3,456738.0
2025-05-27,566.3,566.3,551.5,558.15,351125.0
2025-05-28,558.2,585.9,558.2,579.4,738992.0
2025-05-29,583.5,589.0,578.0,585.15,629180.0
2025-05-30,586.0,595.45,580.0,590.3,353923.0
2025-06-02,590.3,596.0,581.1,592.35,340653.0
2025-06-03,594.7,608.35,585.1,594.25,340177.0
2025-06-04,594.0,597.95,576.15,595.65,488569.0
2025-06-05,595.65,611.0,595.65,604.5,547683.0
2025-06-06,610.0,619.0,606.0,611.65,657918.0
2025-06-09,615.0,620.4,609.0,616.15,310065.0
2025-06-10,618.5,621.5,613.05,616.65,253325.0
2025-06-11,619.0,625.8,615.15,621.2,298026.0
2025-06-12,621.9,626.2,608.5,614.0,305351.0
2025-06-13,605.0,611.75,598.25,610.3,246022.0
2025-06-16,610.0,612.9,596.65,609.05,187643.0
2025-06-17,610.0,618.45,604.2,606.85,205581.0
2025-06-18,608.0,614.0,587.0,589.45,241858.0
2025-06-19,589.25,598.0,584.65,589.15,321092.0
2025-06-20,588.0,597.8,584.8,594.65,149309.0
2025-06-23,590.0,595.2,586.1,590.55,116367.0
2025-06-24,596.0,605.0,587.85,595.2,225049.0
2025-06-25,599.3,609.0,593.2,597.25,430259.0
2025-06-26,599.3,601.7,586.0,589.0,193350.0
2025-06-27,590.05,596.2,587.4,590.05,191101.0
2025-06-30,592.05,594.9,587.8,593.85,171088.0
2025-07-01,593.85,600.5,585.0,586.0,247370.0
2025-07-02,586.2,592.9,582.5,586.85,310713.0
2025-07-03,586.45,590.5,584.2,588.25,212865.0
2025-07-04,588.25,600.5,584.7,590.0,283438.0
2025-07-07,590.0,608.0,587.75,602.8,460337.0
2025-07-08,603.0,611.0,594.8,597.25,306631.0
2025-07-09,597.25,604.0,590.15,601.5,238213.0
2025-07-10,601.5,618.0,601.5,612.5,1070676.0
2025-07-11,612.5,623.0,612.0,616.1,508407.0
2025-07-14,616.1,622.0,602.0,610.5,459115.0
2025-07-15,611.25,625.0,611.25,622.8,399090.0
2025-07-17,619.9,621.75,613.0,615.2,174864.0
2025-07-18,617.6,624.7,608.1,617.75,192741.0
2025-07-21,617.3,623.0,611.3,613.05,109803.0
2025-07-22,616.2,619.8,610.6,612.25,171255.0
2025-07-23,614.95,615.2,605.25,606.65,202663.0
2025-07-24,606.7,619.2,592.95,594.85,386333.0
2025-07-25,597.8,598.75,584.0,589.2,253019.0
2025-07-28,586.3,590.1,581.0,586.1,237293.0
2025-07-29,588.0,594.0,578.5,590.15,250904.0
2025-07-30,590.9,595.45,585.8,591.35,163235.0
2025-07-31,589.9,595.0,582.1,587.05,266713.0
2025-08-01,589.0,591.85,559.05,563.15,153810.0
2025-08-04,567.95,572.8,559.15,570.45,124615.0
2025-08-05,571.45,574.45,560.45,569.05,125109.0
2025-08-06,569.0,571.6,537.3,548.25,505103.0
2025-08-07,548.0,552.4,538.8,550.15,472195.0
2025-08-08,552.8,557.35,542.5,545.2,128374.0
2025-08-11,545.1,555.0,540.4,551.8,81172.0
2025-08-12,555.0,567.9,537.55,560.85,944843.0
2025-08-13,540.0,550.95,540.0,548.3,244180.0
2025-08-14,547.1,568.0,544.05,565.4,298673.0
2025-08-18,568.0,570.0,551.05,558.25,348010.0
2025-08-19,564.9,578.0,558.0,572.75,124597.0
2025-08-20,574.8,586.0,571.05,583.75,152608.0
2025-08-21,586.0,586.5,580.0,584.5,67687.0
2025-08-22,587.35,597.55,578.2,584.85,260950.0
2025-08-25,582.0,593.9,581.2,590.25,189663.0
2025-08-26,584.1,590.75,551.4,558.7,396742.0
2025-08-28,549.0,557.7,543.65,549.95,318957.0
2025-08-29,550.1,551.9,533.0,536.2,197489.0
2025-09-01,534.0,550.0,533.95,541.65,238211.0
2025-09-02,568.85,584.0,561.55,566.85,5179208.0
2025-09-03,569.95,569.95,555.05,559.55,433405.0
2025-09-04,564.0,564.8,549.05,554.0,272047.0
2025-09-05,554.0,558.6,548.1,549.45,277036.0
2025-09-08,549.2,557.0,534.5,536.15,311708.0
2025-09-09,538.5,541.85,517.0,519.6,521377.0
2025-09-10,520.0,528.4,519.6,525.45,317462.0
2025-09-11,526.95,528.95,513.4,515.65,491091.0
2025-09-12,517.65,523.9,514.6,516.05,294587.0
2025-09-15,517.5,525.65,516.2,519.3,283906.0
2025-09-16,520.5,522.2,516.5,517.7,205840.0
2025-09-17,519.8,520.65,513.0,515.85,971749.0
2025-09-18,517.25,527.3,514.1,516.25,720600.0
2025-09-19,517.95,517.95,508.0,509.75,330675.0
2025-09-22,506.0,507.9,501.1,504.3,292766.0
2025-09-23,507.45,507.45,494.0,496.25,235898.0
2025-09-24,496.0,497.95,466.6,469.7,1207853.0
2025-09-25,467.0,477.5,465.9,473.65,321860.0
2025-09-26,475.65,478.85,447.55,451.9,1613814.0
2025-09-29,452.0,461.7,449.3,451.5,314080.0
2025-09-30,453.0,456.55,449.35,455.65,146751.0
2025-10-01,458.7,458.7,450.65,456.95,167679.0
2025-10-03,457.0,466.8,456.1,464.9,256207.0
2025-10-06,469.55,481.5,466.3,475.6,467075.0
2025-10-07,471.6,483.0,469.05,481.35,351763.0
2025-10-08,483.0,484.7,475.6,479.45,487735.0
2025-10-09,482.0,482.0,474.8,479.7,418424.0
2025-10-10,482.4,482.4,475.4,478.2,134613.0
2025-10-13,478.2,478.2,469.0,472.4,671870.0
2025-10-14,474.95,474.95,458.95,463.3,291406.0
2025-10-15,463.95,472.35,463.95,469.6,210785.0
2025-10-16,470.0,476.25,464.5,467.7,244701.0
2025-10-17,471.9,472.0,462.0,464.6,144732.0
2025-10-20,464.6,466.75,458.2,459.8,247881.0
2025-10-21,459.8,471.65,459.8,468.7,52756.0
2025-10-23,470.0,471.85,466.5,468.85,151184.0
2025-10-24,469.0,469.45,459.9,464.2,155066.0
2025-10-27,464.2,466.9,460.9,463.1,112990.0
2025-10-28,463.1,470.7,455.2,469.25,1101110.0
2025-10-29,471.95,481.0,464.8,472.9,607717.0
2025-10-30,472.9,479.45,468.25,469.55,298037.0
2025-10-31,471.95,471.95,458.0,458.95,237121.0
2025-11-03,460.0,463.2,456.25,461.75,165587.0
2025-11-04,457.0,463.1,448.95,449.9,249029.0
2025-11-06,450.9,452.9,443.6,445.4,198840.0
2025-11-07,445.05,445.4,429.1,432.55,1114378.0
2025-11-10,441.95,463.75,441.95,461.2,1835717.0
2025-11-11,459.05,460.75,446.65,454.2,852081.0
2025-11-12,455.0,458.95,448.0,449.15,331898.0
2025-11-13,450.2,459.75,449.7,458.15,276667.0
2025-11-14,458.15,473.7,457.4,465.5,775514.0
2025-11-17,466.0,476.1,460.85,471.9,466680.0
2025-11-18,471.9,474.45,460.0,461.9,324529.0
2025-11-19,463.8,465.3,457.9,462.7,233743.0
2025-11-20,466.9,466.9,454.2,457.45,181461.0
2025-11-21,457.8,459.8,448.5,449.85,175169.0
2025-11-24,451.05,455.95,444.35,452.35,203499.0
2025-11-25,452.35,454.6,447.05,449.85,109602.0
2025-11-26,448.0,455.1,448.0,453.1,105760.0
2025-11-27,453.0,453.0,446.0,449.5,119469.0
2025-11-28,449.9,451.2,446.7,447.6,78181.0
2025-12-01,448.0,449.1,445.0,447.0,105831.0
2025-12-02,447.0,451.95,446.5,450.1,100397.0
2025-12-03,452.1,452.1,443.0,444.2,141843.0
2025-12-04,444.0,446.65,440.0,441.9,109264.0
2025-12-05,442.0,445.5,438.25,444.15,109514.0
2025-12-08,444.15,445.3,427.0,429.05,268504.0
2025-12-09,429.0,430.8,407.8,416.35,1418681.0
2025-12-10,416.35,451.8,416.35,447.75,4303308.0
2025-12-11,443.0,449.25,429.5,445.6,1216873.0
2025-12-12,444.0,444.95,436.25,438.6,298308.0
2025-12-15,438.65,448.95,436.15,447.05,274506.0
2025-12-16,445.0,448.9,440.2,443.5,217743.0
2025-12-17,442.1,445.5,439.5,440.3,128864.0
2025-12-18,439.0,458.0,435.0,450.8,562688.0
2025-12-19,450.5,450.8,435.8,437.65,986605.0
2025-12-22,437.3,442.15,437.3,441.05,226440.0
2025-12-23,444.0,445.4,441.3,442.8,117203.0
2025-12-24,442.8,444.5,438.1,440.3,167970.0
2025-12-26,441.0,441.7,437.2,438.6,101179.0
2025-12-29,438.0,443.1,431.0,432.5,148784.0
2025-12-30,432.95,438.95,431.2,437.25,258722.0
2025-12-31,437.25,446.9,436.0,444.4,269457.0
2026-01-01,445.0,445.65,437.0,438.3,111969.0
2026-01-02,438.25,442.6,437.45,438.55,138587.0
2026-01-05,439.05,442.9,437.0,440.45,144495.0
2026-01-06,438.0,440.35,434.1,435.75,141895.0
2026-01-07,435.75,439.0,433.3,438.15,128269.0
2026-01-08,438.0,439.65,425.0,426.5,147600.0
2026-01-09,430.0,432.65,421.2,429.75,204147.0
2026-01-12,429.75,430.9,416.1,417.2,335193.0
2026-01-13,419.15,426.6,417.05,425.4,155533.0
2026-01-14,426.5,427.5,421.95,425.25,104242.0
2026-01-16,425.25,426.55,416.55,421.05,164824.0
2026-01-19,420.0,422.2,409.5,415.3,244247.0
2026-01-20,417.5,418.95,407.05,410.9,187472.0
2026-01-21,407.8,410.1,393.55,397.8,413753.0
2026-01-22,398.85,409.6,398.85,403.75,163531.0
2026-01-23,404.6,416.9,401.05,413.0,298144.0
2026-01-27,414.6,421.9,400.2,404.95,451982.0
2026-01-28,408.45,414.8,405.6,409.4,194143.0
2026-01-29,409.4,413.65,404.0,409.7,231678.0
2026-01-30,409.7,422.5,405.0,420.35,211893.0
2026-02-01,417.5,439.9,417.5,422.85,535934.0
2026-02-02,425.6,425.6,411.5,420.1,332951.0
2026-02-03,431.0,442.9,427.1,437.45,281193.0
2026-02-04,437.5,444.2,433.3,441.65,145498.0
2026-02-05,441.65,448.0,436.8,446.65,169383.0
2026-02-06,445.75,448.45,439.55,445.05,150263.0
2026-02-09,445.05,458.0,443.85,453.45,389255.0
2026-02-10,457.5,475.0,448.5,467.0,1894550.0
2026-02-11,462.7,463.3,453.0,461.2,632864.0
2026-02-12,462.15,464.0,456.95,460.45,234844.0
2026-02-13,459.0,470.45,454.5,465.9,433218.0
2026-02-16,470.55,474.85,458.5,463.9,551839.0
2026-02-17,466.05,471.45,461.0,470.25,273788.0
2026-02-18,470.25,470.5,465.3,467.75,109250.0
2026-02-19,469.95,469.95,455.0,456.9,154449.0
2026-02-20,456.9,458.8,455.0,456.4,74558.0
2026-02-23,461.9,465.95,453.85,464.5,278968.0
2026-02-24,465.0,465.0,453.05,456.95,227919.0
2026-02-25,460.9,468.05,458.2,466.9,234404.0
2026-02-26,465.0,471.0,458.2,461.3,341327.0
2026-02-27,464.1,472.0,460.2,470.6,473110.0
2026-03-02,450.1,470.45,450.1,458.25,256550.0
2026-03-04,450.55,500.0,446.05,491.7,6834943.0
2026-03-05,500.25,503.25,476.1,490.65,1944632.0
2026-03-06,488.05,493.45,479.05,480.95,636093.0
2026-03-09,479.0,498.2,471.1,492.6,2479649.0
2026-03-10,478.2,508.5,478.2,506.45,1311012.0
2026-03-11,506.45,527.0,501.9,519.05,1177163.0
2026-03-12,517.9,519.65,502.1,509.3,814720.0
2026-03-13,508.0,511.5,482.65,486.0,516792.0
2026-03-16,486.0,487.45,475.0,483.2,703642.0
2026-03-17,487.0,494.0,464.2,467.25,1093402.0
2026-03-18,469.0,486.4,468.65,475.95,431749.0
2026-03-19,470.0,487.45,470.0,483.6,809032.0
2026-03-20,492.0,496.85,482.0,485.9,1104034.0
2026-03-23,485.9,485.9,463.55,473.5,891916.0
2026-03-24,480.5,482.95,443.0,476.95,1369097.0
2026-03-25,485.0,514.0,482.7,508.5,1900267.0
2026-03-27,505.0,513.65,486.95,497.2,1349056.0
2026-03-30,488.5,508.4,488.5,497.1,1379259.0
2026-04-01,504.0,509.6,492.7,494.95,778708.0
2026-04-02,493.0,495.0,482.05,489.35,592314.0
2026-04-06,492.0,497.35,482.4,485.4,591531.0
2026-04-07,483.1,494.3,482.0,483.4,339073.0
2026-04-08,491.35,491.35,470.2,480.4,914919.0
2026-04-09,481.15,486.3,475.6,477.7,352385.0
2026-04-10,478.6,482.4,472.5,473.5,546739.0
2026-04-13,470.0,479.2,463.0,475.5,602208.0
2026-04-15,479.7,488.1,477.35,485.35,762422.0
2026-04-16,489.5,489.5,480.5,483.75,366951.0
2026-04-17,481.55,487.05,481.25,486.0,341399.0
2026-04-20,488.0,520.0,483.0,515.7,2493052.0
2026-04-21,518.2,524.0,505.05,508.85,1020090.0
2026-04-22,509.6,544.45,509.6,541.55,2395989.0
2026-04-23,543.7,552.7,530.55,540.3,1853307.0
2026-04-24,540.15,549.0,507.0,516.1,989345.0
2026-04-27,516.1,535.0,516.1,520.5,536053.0
2026-04-28,519.7,521.45,500.0,508.7,814973.0
2026-04-29,513.0,518.45,500.25,510.2,1067185.0
2026-04-30,511.5,536.4,508.7,521.05,3220832.0
2026-05-04,524.5,533.95,517.2,524.85,948679.0
2026-05-05,524.75,535.9,520.0,531.0,906376.0
2026-05-06,536.75,537.0,522.6,524.85,470663.0
2026-05-07,530.0,530.0,521.2,525.5,368776.0
2026-05-08,525.4,525.4,517.2,522.75,304056.0
