date,open,high,low,close,volume
2025-03-21,1144.1,1163.8,1134.15,1160.65,52167.0
2025-03-24,1152.0,1165.0,1142.45,1148.8,43352.0
2025-03-25,1141.65,1187.05,1130.0,1135.2,69865.0
2025-03-26,1130.05,1142.5,1093.25,1114.65,56604.0
2025-03-27,1116.0,1131.85,1086.95,1098.5,49138.0
2025-03-28,1107.85,1159.6,1095.05,1106.0,93146.0
2025-04-01,1089.4,1140.5,1089.4,1119.7,30431.0
2025-04-02,1110.0,1169.0,1106.15,1165.65,32258.0
2025-04-03,1160.0,1174.0,1140.0,1169.45,15390.0
2025-04-04,1150.8,1164.0,1132.8,1139.9,72503.0
2025-04-07,1055.5,1110.5,1052.0,1098.3,51487.0
2025-04-08,1131.0,1131.05,1084.2,1093.75,37954.0
2025-04-09,1089.0,1097.5,1068.05,1093.85,27308.0
2025-04-11,1084.95,1144.0,1084.95,1124.05,34129.0
2025-04-15,1126.0,1176.0,1126.0,1160.4,40266.0
2025-04-16,1177.8,1184.4,1150.0,1173.5,93542.0
2025-04-17,1204.8,1204.8,1162.0,1168.0,139552.0
2025-04-21,1180.0,1189.4,1153.1,1185.7,152287.0
2025-04-22,1185.7,1219.8,1179.7,1216.6,164729.0
2025-04-23,1229.7,1233.5,1189.4,1199.8,61219.0
2025-04-24,1215.0,1233.8,1203.4,1222.9,96180.0
2025-04-25,1224.0,1232.2,1196.0,1218.2,101164.0
2025-04-28,1200.1,1224.8,1187.2,1204.7,44379.0
2025-04-29,1220.0,1229.0,1187.9,1209.7,102439.0
2025-04-30,1219.9,1220.1,1200.0,1209.2,38097.0
2025-05-02,1210.7,1244.0,1202.5,1237.0,86425.0
2025-05-05,1255.0,1288.9,1221.2,1276.6,72635.0
2025-05-06,1279.8,1293.1,1234.0,1249.4,81173.0
2025-05-07,1225.9,1271.3,1220.0,1262.2,31807.0
2025-05-08,1262.2,1290.0,1240.0,1246.6,32506.0
2025-05-09,1225.9,1292.7,1205.1,1287.6,76820.0
2025-05-12,1303.5,1350.0,1299.1,1344.4,111543.0
2025-05-13,1422.0,1543.0,1360.0,1519.3,1949664.0
2025-05-14,1518.0,1565.1,1493.7,1521.9,323857.0
2025-05-15,1520.0,1596.9,1520.0,1541.4,287407.0
2025-05-16,1589.7,1591.9,1510.0,1521.0,217695.0
2025-05-19,1527.5,1559.9,1509.1,1540.4,223990.0
2025-05-20,1540.9,1648.0,1527.6,1605.0,276913.0
2025-05-21,1599.0,1705.0,1581.8,1675.8,290610.0
2025-05-22,1679.9,1683.5,1658.1,1670.2,106557.0
2025-05-23,1687.1,1738.7,1672.9,1709.3,157666.0
2025-05-26,1729.0,1744.0,1690.0,1695.7,75639.0
2025-05-27,1695.7,1723.2,1692.1,1705.5,69651.0
2025-05-28,1720.7,1720.7,1650.0,1667.3,112079.0
2025-05-29,1671.5,1742.0,1671.5,1705.6,90053.0
2025-05-30,1725.0,1800.0,1703.3,1796.0,259650.0
2025-06-02,1819.0,1857.9,1762.8,1796.8,157136.0
2025-06-03,1807.8,1811.2,1778.6,1790.8,72454.0
2025-06-04,1798.0,1840.0,1786.6,1822.0,98939.0
2025-06-05,1819.2,1821.9,1784.1,1793.8,46023.0
2025-06-06,1793.6,1833.1,1767.9,1774.6,56603.0
2025-06-09,1779.0,1832.4,1779.0,1802.0,69167.0
2025-06-10,1819.0,1850.0,1800.0,1838.8,127687.0
2025-06-11,1845.0,1964.0,1840.8,1939.2,393106.0
2025-06-12,1928.1,1928.1,1834.9,1849.0,158996.0
2025-06-13,1800.0,1902.5,1793.0,1853.1,197957.0
2025-06-16,1885.0,1905.1,1843.9,1886.9,150669.0
2025-06-17,1907.0,1935.0,1858.1,1870.5,93409.0
2025-06-18,1897.0,1927.3,1867.5,1911.5,94902.0
2025-06-19,1900.0,1907.1,1850.9,1857.6,45896.0
2025-06-20,1857.6,1865.9,1792.3,1806.6,179341.0
2025-06-23,1799.1,1869.5,1792.1,1838.3,78311.0
2025-06-24,1867.2,1875.0,1760.0,1766.3,85926.0
2025-06-25,1752.3,1810.0,1739.0,1782.1,101646.0
2025-06-26,1799.9,1811.9,1746.6,1754.8,112344.0
2025-06-27,1762.0,1797.4,1762.0,1766.4,45557.0
2025-06-30,1774.9,1798.0,1755.9,1788.2,62923.0
2025-07-01,1806.1,1862.9,1795.3,1825.9,140006.0
2025-07-02,1830.0,1860.0,1785.4,1805.9,62623.0
2025-07-03,1819.0,1885.0,1793.2,1867.9,135302.0
2025-07-04,1875.0,1932.0,1851.0,1918.4,369956.0
2025-07-07,1924.5,1925.0,1825.0,1828.3,108206.0
2025-07-08,1835.0,1848.4,1774.7,1792.9,77306.0
2025-07-09,1791.1,1814.7,1770.6,1810.9,65558.0
2025-07-10,1813.0,1813.0,1780.0,1799.2,40671.0
2025-07-11,1787.8,1807.9,1753.1,1772.8,67484.0
2025-07-14,1789.9,1848.9,1727.9,1839.3,108352.0
2025-07-15,1843.0,1887.9,1826.8,1840.6,84320.0
2025-07-17,1819.0,1837.8,1789.0,1793.6,72704.0
2025-07-18,1798.0,1811.8,1774.0,1776.3,34999.0
2025-07-21,1775.0,1800.0,1766.0,1792.7,22372.0
2025-07-22,1800.0,1830.0,1787.1,1819.6,95906.0
2025-07-23,1819.6,1857.2,1785.6,1850.4,80916.0
2025-07-24,1843.8,1855.4,1790.0,1802.8,44305.0
2025-07-25,1802.0,1824.1,1741.2,1748.9,74847.0
2025-07-28,1732.1,1776.5,1711.3,1739.5,47063.0
2025-07-29,1735.0,1760.0,1721.9,1749.7,36180.0
2025-07-30,1752.0,1760.9,1717.3,1726.7,38206.0
2025-07-31,1695.7,1725.0,1681.0,1696.7,67350.0
2025-08-01,1685.0,1718.5,1658.5,1666.7,32832.0
2025-08-04,1666.7,1668.8,1601.0,1647.3,114716.0
2025-08-05,1651.0,1663.9,1604.1,1633.2,68260.0
2025-08-06,1688.0,1706.0,1588.9,1636.9,225183.0
2025-08-07,1628.7,1642.0,1606.4,1628.0,29880.0
2025-08-08,1637.0,1676.8,1621.2,1669.8,61000.0
2025-08-11,1689.8,1697.0,1625.7,1674.6,67758.0
2025-08-12,1690.0,1694.9,1633.5,1639.6,77558.0
2025-08-13,1652.7,1675.2,1633.9,1659.9,122739.0
2025-08-14,1660.0,1675.0,1619.3,1628.2,93719.0
2025-08-18,1637.9,1645.7,1610.2,1615.4,29752.0
2025-08-19,1620.0,1639.6,1598.4,1607.6,35936.0
2025-08-20,1607.6,1618.0,1557.1,1578.1,50886.0
2025-08-21,1585.8,1600.1,1578.2,1589.6,18593.0
2025-08-22,1600.0,1637.7,1568.0,1623.3,40696.0
2025-08-25,1647.6,1657.0,1604.8,1610.5,77173.0
2025-08-26,1605.0,1623.3,1570.0,1575.5,47979.0
2025-08-28,1565.0,1604.4,1562.5,1586.7,38570.0
2025-08-29,1586.0,1604.0,1544.6,1563.2,39279.0
2025-09-01,1556.1,1600.8,1530.3,1578.7,108966.0
2025-09-02,1578.7,1590.7,1544.5,1550.1,45140.0
2025-09-03,1550.0,1568.0,1541.1,1547.2,19709.0
2025-09-04,1552.1,1570.3,1520.0,1525.3,24672.0
2025-09-05,1527.9,1620.0,1511.3,1601.4,108158.0
2025-09-08,1610.0,1670.9,1580.8,1641.0,85875.0
2025-09-09,1642.0,1648.1,1591.0,1601.7,48039.0
2025-09-10,1614.5,1642.7,1607.1,1627.7,40453.0
2025-09-11,1639.0,1661.6,1625.0,1643.0,35591.0
2025-09-12,1640.0,1642.0,1602.0,1611.8,21253.0
2025-09-15,1624.6,1633.9,1573.4,1624.7,61478.0
2025-09-16,1632.0,1632.0,1607.0,1621.6,17530.0
2025-09-17,1634.0,1644.0,1610.0,1616.1,18380.0
2025-09-18,1615.0,1625.8,1586.8,1592.9,17660.0
2025-09-19,1608.0,1608.0,1564.0,1598.7,34605.0
2025-09-22,1598.7,1606.9,1573.0,1578.9,22669.0
2025-09-23,1580.0,1581.3,1545.1,1552.6,24425.0
2025-09-24,1550.0,1556.7,1527.1,1530.5,23145.0
2025-09-25,1516.8,1573.9,1506.0,1565.3,56392.0
2025-09-26,1565.3,1570.0,1521.4,1558.8,44193.0
2025-09-29,1558.8,1574.4,1529.0,1550.6,25644.0
2025-09-30,1531.1,1544.7,1516.7,1524.7,31557.0
2025-10-01,1539.9,1539.9,1505.3,1525.6,34624.0
2025-10-03,1525.6,1544.9,1512.7,1518.2,17788.0
2025-10-06,1495.5,1522.2,1447.1,1474.5,102420.0
2025-10-07,1474.5,1532.0,1471.4,1523.7,67537.0
2025-10-08,1527.9,1530.0,1496.0,1503.0,26046.0
2025-10-09,1491.7,1498.7,1468.8,1472.4,34800.0
2025-10-10,1472.4,1489.6,1468.0,1480.8,50071.0
2025-10-13,1480.8,1518.6,1478.0,1497.0,136568.0
2025-10-14,1503.0,1535.0,1503.0,1519.0,42925.0
2025-10-15,1530.0,1581.2,1507.8,1574.9,74416.0
2025-10-16,1589.0,1589.0,1540.0,1570.0,52816.0
2025-10-17,1578.0,1578.0,1539.0,1545.4,26691.0
2025-10-20,1550.1,1586.8,1522.0,1574.1,39624.0
2025-10-21,1591.0,1597.8,1568.0,1589.2,11037.0
2025-10-23,1590.0,1612.0,1573.3,1603.8,87158.0
2025-10-24,1610.0,1610.0,1566.5,1582.3,44962.0
2025-10-27,1589.0,1607.0,1553.0,1560.8,30905.0
2025-10-28,1573.3,1576.7,1537.8,1547.3,22073.0
2025-10-29,1550.9,1588.0,1540.0,1573.9,25000.0
2025-10-30,1582.0,1612.0,1571.0,1605.8,32097.0
2025-10-31,1615.0,1633.3,1599.8,1604.6,98269.0
2025-11-03,1591.9,1630.0,1581.5,1604.6,32697.0
2025-11-04,1610.0,1616.5,1597.8,1605.0,40624.0
2025-11-06,1621.0,1621.0,1598.8,1601.8,26863.0
2025-11-07,1585.0,1626.8,1585.0,1618.7,30844.0
2025-11-10,1618.7,1619.9,1598.1,1599.7,27903.0
2025-11-11,1590.1,1624.0,1561.1,1598.8,74098.0
2025-11-12,1600.0,1603.8,1512.3,1519.8,75529.0
2025-11-13,1631.9,1650.9,1586.4,1606.1,407747.0
2025-11-14,1609.9,1622.0,1592.2,1597.4,77892.0
2025-11-17,1612.6,1629.0,1530.1,1537.8,85558.0
2025-11-18,1550.0,1559.9,1525.6,1537.1,55524.0
2025-11-19,1537.1,1539.0,1505.0,1530.6,37990.0
2025-11-20,1548.0,1548.0,1507.0,1511.2,40625.0
2025-11-21,1508.0,1520.0,1488.0,1509.9,54195.0
2025-11-24,1517.5,1517.5,1491.1,1495.0,27042.0
2025-11-25,1513.0,1523.8,1483.0,1509.8,24053.0
2025-11-26,1501.0,1548.0,1501.0,1537.0,33747.0
2025-11-27,1544.7,1544.7,1512.4,1537.4,54436.0
2025-11-28,1537.4,1538.0,1510.0,1522.0,20021.0
2025-12-01,1522.9,1529.5,1492.0,1494.4,15192.0
2025-12-02,1494.4,1494.4,1446.9,1476.8,99142.0
2025-12-03,1491.6,1532.3,1475.5,1525.7,55093.0
2025-12-04,1501.0,1538.8,1501.0,1531.5,53514.0
2025-12-05,1517.9,1550.0,1517.9,1544.6,51404.0
2025-12-08,1521.0,1560.0,1521.0,1550.6,137157.0
2025-12-09,1545.5,1560.5,1519.0,1550.1,54992.0
2025-12-10,1550.0,1554.2,1527.6,1536.9,24160.0
2025-12-11,1545.3,1545.3,1515.0,1529.9,21431.0
2025-12-12,1533.1,1545.0,1522.0,1541.0,75077.0
2025-12-15,1540.0,1543.3,1515.9,1527.7,39286.0
2025-12-16,1516.7,1554.5,1511.0,1543.2,30691.0
2025-12-17,1549.8,1550.0,1515.8,1524.4,33212.0
2025-12-18,1530.0,1547.3,1510.3,1543.7,20074.0
2025-12-19,1542.7,1555.0,1534.5,1552.2,27141.0
2025-12-22,1555.0,1568.0,1547.8,1560.7,57495.0
2025-12-23,1550.5,1628.0,1550.5,1585.7,65668.0
2025-12-24,1600.0,1621.0,1585.7,1604.0,27572.0
2025-12-26,1600.0,1615.0,1580.5,1603.7,27934.0
2025-12-29,1604.6,1659.0,1601.0,1605.2,58188.0
2025-12-30,1600.0,1617.0,1580.0,1586.5,39761.0
2025-12-31,1586.0,1610.0,1578.9,1599.9,29761.0
2026-01-01,1592.0,1614.7,1592.0,1610.5,19756.0
2026-01-02,1602.4,1699.0,1602.3,1688.5,79646.0
2026-01-05,1717.1,1768.0,1702.1,1736.6,126526.0
2026-01-06,1754.8,1788.3,1717.0,1732.0,134844.0
2026-01-07,1730.0,1771.0,1701.0,1719.3,47303.0
2026-01-08,1720.0,1725.9,1640.9,1652.6,40428.0
2026-01-09,1672.4,1672.4,1600.0,1620.9,30546.0
2026-01-12,1620.0,1670.0,1590.1,1652.2,40120.0
2026-01-13,1666.0,1668.7,1610.5,1618.6,25946.0
2026-01-14,1610.5,1624.0,1594.7,1607.1,15476.0
2026-01-16,1603.7,1630.2,1594.7,1614.0,23253.0
2026-01-19,1594.0,1652.4,1594.0,1628.3,40248.0
2026-01-20,1628.3,1638.7,1572.4,1609.6,102263.0
2026-01-21,1575.0,1623.0,1533.8,1577.4,60729.0
2026-01-22,1577.4,1605.8,1550.0,1581.5,34447.0
2026-01-23,1570.0,1597.8,1551.0,1566.5,18425.0
2026-01-27,1560.2,1644.9,1559.1,1589.5,56415.0
2026-01-28,1578.3,1581.5,1528.3,1556.7,53833.0
2026-01-29,1559.8,1580.1,1546.1,1570.6,49541.0
2026-01-30,1579.7,1610.0,1545.1,1602.4,20158.0
2026-02-01,1602.4,1620.0,1573.2,1606.0,14251.0
2026-02-02,1600.0,1617.8,1551.1,1571.2,37748.0
2026-02-03,1603.0,1629.0,1555.0,1615.5,27194.0
2026-02-04,1603.8,1622.9,1603.8,1615.9,11437.0
2026-02-05,1615.9,1659.8,1594.7,1649.2,23814.0
2026-02-06,1659.8,1728.0,1632.1,1647.2,175362.0
2026-02-09,1645.0,1660.4,1620.0,1648.7,33001.0
2026-02-10,1654.0,1654.0,1610.6,1619.4,33857.0
2026-02-11,1617.0,1620.2,1572.0,1598.3,54992.0
2026-02-12,1632.9,1690.9,1601.6,1614.6,141933.0
2026-02-13,1615.0,1646.5,1585.4,1612.8,38765.0
2026-02-16,1620.9,1637.7,1600.0,1617.6,29274.0
2026-02-17,1603.0,1665.5,1601.8,1653.1,46814.0
2026-02-18,1653.1,1658.0,1622.9,1642.2,22907.0
2026-02-19,1644.9,1645.0,1615.0,1627.9,15639.0
2026-02-20,1618.2,1621.3,1592.0,1609.6,43438.0
2026-02-23,1609.0,1627.8,1580.1,1585.2,100857.0
2026-02-24,1581.8,1605.8,1557.6,1601.4,45240.0
2026-02-25,1619.8,1629.6,1585.1,1611.9,23230.0
2026-02-26,1611.2,1652.7,1598.0,1619.3,34278.0
2026-02-27,1614.0,1632.9,1600.1,1612.3,21363.0
2026-03-02,1554.6,1646.7,1548.7,1603.4,58238.0
2026-03-04,1574.0,1584.8,1550.7,1559.8,48401.0
2026-03-05,1565.0,1659.6,1565.0,1637.6,69276.0
2026-03-06,1634.8,1648.4,1605.0,1621.0,20859.0
2026-03-09,1605.0,1615.0,1580.0,1588.2,28565.0
2026-03-10,1614.4,1624.0,1587.3,1618.9,33913.0
2026-03-11,1637.5,1637.5,1594.9,1607.9,20537.0
2026-03-12,1595.0,1647.7,1562.0,1631.2,37515.0
2026-03-13,1634.4,1634.4,1575.0,1580.7,23828.0
2026-03-16,1550.2,1574.2,1535.9,1564.9,37700.0
2026-03-17,1575.0,1575.0,1544.5,1553.7,22204.0
2026-03-18,1550.0,1588.5,1550.0,1562.1,51598.0
2026-03-19,1562.0,1570.0,1534.7,1556.6,26887.0
2026-03-20,1550.2,1569.0,1526.1,1537.7,49205.0
2026-03-23,1537.0,1537.0,1392.7,1412.5,59587.0
2026-03-24,1433.6,1467.5,1417.0,1457.6,30125.0
2026-03-25,1480.0,1566.4,1465.0,1536.8,52232.0
2026-03-27,1519.7,1544.5,1490.0,1511.1,37281.0
2026-03-30,1490.0,1509.1,1419.6,1448.5,121997.0
2026-04-01,1498.5,1530.5,1482.9,1509.0,26527.0
2026-04-02,1493.0,1508.9,1467.0,1496.1,33560.0
2026-04-06,1481.0,1540.7,1481.0,1530.4,15969.0
2026-04-07,1544.0,1575.9,1516.0,1552.6,31297.0
2026-04-08,1595.8,1623.9,1574.5,1579.5,58867.0
2026-04-09,1600.0,1600.1,1541.2,1560.5,43670.0
2026-04-10,1581.0,1599.9,1549.6,1563.5,31114.0
2026-04-13,1520.1,1564.7,1519.0,1537.0,17154.0
2026-04-15,1552.6,1570.9,1533.0,1547.9,64403.0
2026-04-16,1564.1,1609.9,1561.6,1571.7,63976.0
2026-04-17,1583.0,1638.8,1573.1,1614.8,200218.0
2026-04-20,1612.8,1649.4,1593.1,1632.0,177912.0
2026-04-21,1635.0,1649.9,1602.2,1620.1,102378.0
2026-04-22,1613.0,1637.5,1600.0,1607.2,12423.0
2026-04-23,1617.3,1617.3,1581.1,1598.3,32245.0
2026-04-24,1607.2,1610.8,1540.1,1560.1,46527.0
2026-04-27,1560.0,1594.4,1560.0,1586.8,16248.0
2026-04-28,1587.0,1622.4,1575.0,1596.2,53359.0
2026-04-29,1595.1,1720.0,1594.3,1689.4,131221.0
2026-04-30,1689.3,1725.9,1652.6,1670.4,80977.0
2026-05-04,1692.6,1725.5,1680.0,1693.4,78955.0
2026-05-05,1693.4,1721.5,1666.2,1672.2,25112.0
2026-05-06,1672.2,1697.9,1651.2,1667.0,64299.0
2026-05-07,1667.0,1680.9,1646.5,1650.8,20832.0
2026-05-08,1645.0,1693.4,1645.0,1650.3,60193.0
